id,owner_id,owner_kind,article_code,penalty_type,min_imprisonment_months,max_imprisonment_months,fine_min_vnd,fine_max_vnd,has_life_imprisonment,has_death_penalty,text
penalty_article_248_clause_3_1,article_248_clause_3,Clause,248,imprisonment,180,240,,,false,false,phạt tù từ 15 năm đến 20 năm
penalty_article_248_clause_4_1,article_248_clause_4,Clause,248,imprisonment,240,240,,,true,false,phạt tù 20 năm hoặc tù chung thân
penalty_article_248_clause_4_2,article_248_clause_4,Clause,248,imprisonment,240,240,,,true,false,phạt tù 20 năm
penalty_article_248_clause_5_1,article_248_clause_5,Clause,248,life_imprisonment,,,,,true,false,tù chung thân
penalty_article_248_clause_5_2,article_248_clause_5,Clause,248,death_penalty,,,,,false,true,tử hình
penalty_article_248_clause_6_1,article_248_clause_6,Clause,248,fine,,,5000000,500000000,false,false,phạt tiền từ 5.000.000 đồng đến 500.000.000 đồng
penalty_article_249_clause_1_1,article_249_clause_1,Clause,249,imprisonment,36,60,,,false,false,phạt tù từ 03 năm đến 05 năm
penalty_article_249_clause_2_1,article_249_clause_2,Clause,249,imprisonment,60,120,,,false,false,phạt tù từ 05 năm đến 10 năm
penalty_article_249_clause_3_1,article_249_clause_3,Clause,249,imprisonment,120,180,,,false,false,phạt tù từ 10 năm đến 15 năm
penalty_article_249_clause_4_1,article_249_clause_4,Clause,249,imprisonment,180,240,,,true,false,phạt tù từ 15 năm đến 20 năm
penalty_article_249_clause_5_1,article_249_clause_5,Clause,249,fine,,,5000000,500000000,false,false,phạt tiền từ 5.000.000 đồng đến 500.000.000 đồng
