id,crime_id,article_id,article_code,requirement_type,text,normalized_text
consreq_crime_171_consequence_gay_thuong_tich_hoac_gay_ton_hai_cho_suc_khoe_cua_01_nguoi_ma_ty_le_ton_thuong_co_the_61_tro_len_h,crime_171,article_171,171,consequence,Gây thương tích hoặc gây tổn hại cho sức khỏe của 01 người mà tỷ lệ tổn thương cơ thể 61% trở lên hoặc gây thương tích hoặc gây tổn hại cho sức khỏe của 02 người trở lên mà tỷ lệ tổn thương cơ thể của mỗi người 31% trở lên,gay thuong tich hoac gay ton hai cho suc khoe cua 01 nguoi ma ty le ton thuong co the 61 tro len hoac gay thuong tich hoac gay ton hai cho suc khoe cua 02 nguoi tro len ma ty le ton thuong co the cua moi nguoi 31 tro len
consreq_crime_171_consequence_ton_hai_cho_suc_khoe_cua_nguoi_khac_ma_ty_le_ton_thuong_co_the_tu_11_den_30,crime_171,article_171,171,consequence,tổn hại cho sức khỏe của người khác mà tỷ lệ tổn thương cơ thể từ 11% đến 30%,ton hai cho suc khoe cua nguoi khac ma ty le ton thuong co the tu 11 den 30
consreq_crime_178_consequence_gay_thiet_hai_cho_tai_san_tri_gia_tu_50,crime_178,article_178,178,consequence,Gây thiệt hại cho tài sản trị giá từ 50,gay thiet hai cho tai san tri gia tu 50
consreq_crime_178_consequence_gay_thiet_hai_cho_tai_san_tri_gia_tu_200,crime_178,article_178,178,consequence,gây thiệt hại cho tài sản trị giá từ 200,gay thiet hai cho tai san tri gia tu 200
consreq_crime_178_consequence_gay_thiet_hai_cho_tai_san_tri_gia_500,crime_178,article_178,178,consequence,gây thiệt hại cho tài sản trị giá 500,gay thiet hai cho tai san tri gia 500
consreq_crime_179_consequence_gay_thiet_hai_cho_tai_san_cua_nha_nuoc_co_quan_to_chuc_doanh_nghiep_tu_100,crime_179,article_179,179,consequence,"gây thiệt hại cho tài sản của Nhà nước, cơ quan, tổ chức, doanh nghiệp từ 100",gay thiet hai cho tai san cua nha nuoc co quan to chuc doanh nghiep tu 100
consreq_crime_179_consequence_gay_thiet_hai_cho_tai_san_cua_nha_nuoc_co_quan_to_chuc_doanh_nghiep_tri_gia_tu_500,crime_179,article_179,179,consequence,"gây thiệt hại cho tài sản của Nhà nước, cơ quan, tổ chức, doanh nghiệp trị giá từ 500",gay thiet hai cho tai san cua nha nuoc co quan to chuc doanh nghiep tri gia tu 500
consreq_crime_179_consequence_gay_thiet_hai_cho_tai_san_cua_nha_nuoc_co_quan_to_chuc_doanh_nghiep_tri_gia_2,crime_179,article_179,179,consequence,"gây thiệt hại cho tài sản của Nhà nước, cơ quan, tổ chức, doanh nghiệp trị giá 2",gay thiet hai cho tai san cua nha nuoc co quan to chuc doanh nghiep tri gia 2
consreq_crime_180_consequence_gay_thiet_hai_cho_tai_san_cua_nguoi_khac_tri_gia_tu_100,crime_180,article_180,180,consequence,gây thiệt hại cho tài sản của người khác trị giá từ 100,gay thiet hai cho tai san cua nguoi khac tri gia tu 100
consreq_crime_180_consequence_gay_thiet_hai_cho_tai_san_cua_nguoi_khac_tri_gia_500,crime_180,article_180,180,consequence,gây thiệt hại cho tài sản của người khác trị giá 500,gay thiet hai cho tai san cua nguoi khac tri gia 500
