id,crime_id,article_id,article_code,owner_id,owner_kind,text,min_value,max_value,unit,normalized_text
threshold_condition_article_232_clause_1_point_c_20_met_khoi,crime_232,article_232,232,condition_article_232_clause_1_point_c,Condition,20 mét khối,20,,m3,20 met khoi
threshold_condition_article_232_clause_1_point_d_tu_07_met_khoi,crime_232,article_232,232,condition_article_232_clause_1_point_d,Condition,từ 07 mét khối,07,,m3,tu 07 met khoi
threshold_condition_article_232_clause_1_point_d_15_met_khoi,crime_232,article_232,232,condition_article_232_clause_1_point_d,Condition,15 mét khối,15,,m3,15 met khoi
threshold_condition_article_232_clause_1_point_d_tu_05_met_khoi,crime_232,article_232,232,condition_article_232_clause_1_point_d,Condition,từ 05 mét khối,05,,m3,tu 05 met khoi
threshold_condition_article_232_clause_1_point_d_10_met_khoi,crime_232,article_232,232,condition_article_232_clause_1_point_d,Condition,10 mét khối,10,,m3,10 met khoi
threshold_condition_article_232_clause_1_point_d_tu_10_met_khoi,crime_232,article_232,232,condition_article_232_clause_1_point_d,Condition,từ 10 mét khối,10,,m3,tu 10 met khoi
threshold_condition_article_232_clause_1_point_d_20_met_khoi,crime_232,article_232,232,condition_article_232_clause_1_point_d,Condition,20 mét khối,20,,m3,20 met khoi
threshold_condition_article_232_clause_1_point_e_tu_03_met_khoi,crime_232,article_232,232,condition_article_232_clause_1_point_e,Condition,từ 03 mét khối,03,,m3,tu 03 met khoi
threshold_condition_article_232_clause_1_point_e_08_met_khoi,crime_232,article_232,232,condition_article_232_clause_1_point_e,Condition,08 mét khối,08,,m3,08 met khoi
threshold_condition_article_232_clause_1_point_e_tu_01_met_khoi,crime_232,article_232,232,condition_article_232_clause_1_point_e,Condition,từ 01 mét khối,01,,m3,tu 01 met khoi
threshold_condition_article_232_clause_1_point_e_03_met_khoi,crime_232,article_232,232,condition_article_232_clause_1_point_e,Condition,03 mét khối,03,,m3,03 met khoi
threshold_condition_article_232_clause_1_point_g_000_000_dong_den,crime_232,article_232,232,condition_article_232_clause_1_point_g,Condition,000.000 đồng đến,000.000,,vnd,000 000 dong den
threshold_condition_article_232_clause_1_point_g_000_000_dong,crime_232,article_232,232,condition_article_232_clause_1_point_g,Condition,000.000 đồng,000.000,,vnd,000 000 dong
threshold_condition_article_232_clause_1_point_h_tu_01_met_khoi,crime_232,article_232,232,condition_article_232_clause_1_point_h,Condition,từ 01 mét khối,01,,m3,tu 01 met khoi
threshold_condition_article_232_clause_1_point_h_02_met_khoi,crime_232,article_232,232,condition_article_232_clause_1_point_h,Condition,02 mét khối,02,,m3,02 met khoi
threshold_condition_article_232_clause_1_point_h_tu_0_5_met_khoi,crime_232,article_232,232,condition_article_232_clause_1_point_h,Condition,"từ 0,5 mét khối",0.5,,m3,tu 0 5 met khoi
threshold_condition_article_232_clause_1_point_h_1_5_met_khoi,crime_232,article_232,232,condition_article_232_clause_1_point_h,Condition,"1,5 mét khối",1.5,,m3,1 5 met khoi
threshold_condition_article_232_clause_1_point_h_01_met_khoi,crime_232,article_232,232,condition_article_232_clause_1_point_h,Condition,01 mét khối,01,,m3,01 met khoi
threshold_condition_article_232_clause_1_point_i_000_000_dong_den,crime_232,article_232,232,condition_article_232_clause_1_point_i,Condition,000.000 đồng đến,000.000,,vnd,000 000 dong den
threshold_condition_article_232_clause_1_point_i_000_000_dong,crime_232,article_232,232,condition_article_232_clause_1_point_i,Condition,000.000 đồng,000.000,,vnd,000 000 dong
threshold_condition_article_232_clause_1_point_k_tu_1_5_met_khoi,crime_232,article_232,232,condition_article_232_clause_1_point_k,Condition,"từ 1,5 mét khối",1.5,,m3,tu 1 5 met khoi
threshold_condition_article_232_clause_1_point_k_03_met_khoi,crime_232,article_232,232,condition_article_232_clause_1_point_k,Condition,03 mét khối,03,,m3,03 met khoi
